time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1672502400,16600.62,16575.29,16583.02,1197.3,19858983.96,16592.72,direct,
1672506000,16594.93,16567.14,16592.72,1089.29,18056272.34,16572.18,direct,
1672509600,16578.29,16564.29,16572.18,1101.88,18261039.4,16566.65,direct,
1672513200,16575.32,16558.58,16566.65,1706.73,28275078.07,16561.76,direct,
1672516800,16564.56,16557.19,16561.76,1016.71,16835700.04,16558.93,direct,
1672520400,16560.79,16540.06,16558.93,1434.99,23748498.06,16542.96,direct,
1672524000,16556.14,16487.05,16542.96,2343.4,38718671.54,16513.48,direct,
1672527600,16540.12,16489.61,16513.48,1565.81,25861336.28,16531.31,direct,
1672531200,16534.98,16506.17,16531.31,1545.12,25523369.75,16522.03,direct,
1672534800,16545.51,16519.45,16522.03,960.56,15877362.46,16544.1,direct,
1672538400,16549.29,16531.75,16544.1,806.06,13330833.85,16537.98,direct,
1672542000,16538.48,16512.88,16537.98,1008.57,16662108.39,16525.35,direct,
1672545600,16526.72,16506.63,16525.35,1113.5,18388597.22,16512.02,direct,
1672549200,16523.72,16506.61,16512.02,633.1,10453180.6,16523.19,direct,
1672552800,16539.8,16521.82,16523.19,523.07,8647589.62,16532.57,direct,
1672556400,16533.46,16502.85,16532.57,2424.73,40047328.24,16521.58,direct,
1672560000,16526.38,16505.73,16521.58,717.43,11844428.36,16507.16,direct,
1672563600,16534.12,16504.64,16507.16,433.72,7163184.21,16533.36,direct,
1672567200,16538.28,16528.73,16533.36,362.38,5990227.93,16535.05,direct,
1672570800,16547.95,16533.67,16535.05,360.57,5963893.33,16547.66,direct,
1672574400,16563.17,16542.83,16547.66,588.47,9740968.41,16554.27,direct,
1672578000,16559.32,16530.93,16554.27,488.54,8081772.53,16539.27,direct,
1672581600,16550.52,16534.41,16539.27,350.47,5797951.38,16535.17,direct,
1672585200,16552.18,16525.65,16535.17,374.1,6186968.68,16550.66,direct,
1672588800,16572.67,16550.29,16550.66,1085.63,17979362.56,16556.61,direct,
1672592400,16588.07,16555.24,16556.61,833.34,13809731.07,16571.28,direct,
1672596000,16595.28,16571.26,16571.28,682.62,11321149.31,16583.71,direct,
1672599600,16614.87,16583.7,16583.71,1152.0,19122082.24,16594.82,direct,
1672603200,16619.82,16593.07,16594.82,1343.91,22317013.73,16597.18,direct,
1672606800,16602.38,16587.42,16597.18,640.81,10633145.19,16600.97,direct,
1672610400,16607.08,16583.66,16600.97,769.34,12767336.54,16596.33,direct,
1672614000,16617.25,16595.48,16596.33,1058.1,17571275.97,16613.87,direct,
1672617600,16621.8,16576.62,16613.87,913.95,15170321.91,16582.13,direct,
1672621200,16583.64,16544.15,16582.13,937.75,15527811.01,16557.66,direct,
1672624800,16585.75,16548.35,16557.66,606.79,10054076.61,16580.67,direct,
1672628400,16693.04,16576.53,16580.67,1817.92,30231990.72,16656.13,direct,
1672632000,16666.33,16621.56,16656.13,1367.98,22757942.34,16632.46,direct,
1672635600,16652.62,16612.37,16632.46,1176.6,19561605.5,16639.86,direct,
1672639200,16653.17,16627.96,16639.86,599.0,9966355.62,16633.14,direct,
1672642800,16748.64,16630.76,16633.14,3576.11,59767650.49,16712.34,direct,
1672646400,16755.43,16700.93,16712.34,2088.0,34930501.35,16724.11,direct,
1672650000,16733.89,16704.93,16724.11,1283.74,21460725.12,16708.85,direct,
1672653600,16740.43,16703.86,16708.85,1082.42,18104889.52,16719.38,direct,
1672657200,16729.39,16700.07,16719.38,761.46,12726739.18,16725.66,direct,
1672660800,16733.15,16713.19,16725.66,631.87,10568066.96,16713.84,direct,
1672664400,16716.1,16683.23,16713.84,1001.23,16719116.98,16689.85,direct,
1672668000,16700.72,16668.97,16689.85,1129.2,18843691.97,16692.17,direct,
1672671600,16736.04,16688.12,16692.17,2169.42,36262024.5,16728.21,direct,
1672675200,16731.59,16707.16,16728.21,1160.73,19409733.51,16707.87,direct,
1672678800,16714.73,16702.52,16707.87,769.08,12849655.24,16709.01,direct,
1672682400,16723.67,16701.97,16709.01,643.94,10759375.36,16716.47,direct,
1672686000,16729.2,16711.05,16716.47,611.42,10222701.13,16729.06,direct,
1672689600,16730.68,16704.73,16729.06,907.04,15163216.28,16722.61,direct,
1672693200,16768.07,16717.92,16722.61,1230.91,20611821.95,16750.63,direct,
1672696800,16753.78,16690.75,16750.63,1591.73,26608927.88,16693.97,direct,
1672700400,16715.08,16665.46,16693.97,2101.46,35081445.49,16670.08,direct,
1672704000,16699.42,16650.68,16670.08,1927.62,32140732.31,16692.58,direct,
1672707600,16692.58,16652.14,16692.58,1288.75,21480523.94,16672.18,direct,
1672711200,16681.6,16669.09,16672.18,666.43,11115251.49,16670.61,direct,
1672714800,16693.68,16665.02,16670.61,791.8,13207722.66,16687.17,direct,
1672718400,16692.87,16679.68,16687.17,479.43,7999848.39,16681.42,direct,
1672722000,16719.21,16680.3,16681.42,1009.65,16863343.75,16719.07,direct,
1672725600,16764.21,16719.07,16719.07,1896.26,31746920.5,16721.88,direct,
1672729200,16727.24,16706.38,16721.88,861.74,14406076.37,16726.02,direct,
1672732800,16730.49,16697.97,16726.02,1123.72,18781198.19,16711.9,direct,
1672736400,16749.93,16711.7,16711.9,1034.78,17316278.66,16737.1,direct,
1672740000,16744.12,16720.5,16737.1,524.66,8778732.59,16721.43,direct,
1672743600,16731.69,16712.89,16721.43,830.59,13888032.48,16715.84,direct,
1672747200,16720.64,16700.36,16715.84,1026.66,17157453.57,16704.4,direct,
1672750800,16730.82,16704.0,16704.4,1457.26,24376054.0,16723.12,direct,
1672754400,16766.7,16656.05,16723.12,5096.9,85230832.89,16660.95,direct,
1672758000,16677.18,16621.68,16660.95,4789.26,79726110.23,16672.55,direct,
1672761600,16680.09,16613.14,16672.55,3381.86,56292827.97,16617.75,direct,
1672765200,16636.87,16605.01,16617.75,1684.94,28006311.7,16625.34,direct,
1672768800,16646.21,16623.77,16625.34,1189.68,19790317.95,16637.77,direct,
1672772400,16648.22,16620.93,16637.77,1817.14,30222802.17,16638.71,direct,
1672776000,16664.91,16637.67,16638.71,1995.72,33232419.56,16657.59,direct,
1672779600,16667.5,16655.33,16657.59,1004.68,16739803.24,16660.86,direct,
1672783200,16671.32,16644.99,16660.86,756.92,12606966.27,16670.29,direct,
1672786800,16685.09,16664.89,16670.29,1048.11,17475632.95,16670.16,direct,
1672790400,16672.02,16651.02,16670.16,746.63,12440450.47,16655.31,direct,
1672794000,16718.97,16653.66,16655.31,2297.78,38373381.55,16698.06,direct,
1672797600,16742.16,16697.53,16698.06,1764.85,29515219.86,16731.07,direct,
1672801200,16864.21,16731.07,16731.07,4695.5,78912838.0,16860.08,direct,
1672804800,16892.05,16845.17,16860.08,3048.01,51411837.9,16855.49,direct,
1672808400,16860.14,16836.57,16855.49,1038.3,17488947.2,16852.18,direct,
1672812000,16869.29,16845.59,16852.18,1010.76,17034945.79,16869.29,direct,
1672815600,16881.25,16843.67,16869.29,1870.7,31541339.59,16867.41,direct,
1672819200,16903.42,16832.71,16867.41,2393.56,40365810.24,16860.73,direct,
1672822800,16862.48,16831.58,16860.73,1359.64,22906087.82,16839.66,direct,
1672826400,16841.59,16830.19,16839.66,681.27,11470898.82,16840.03,direct,
1672830000,16848.08,16830.47,16840.03,772.35,13007220.29,16830.61,direct,
1672833600,16837.66,16803.75,16830.61,1713.31,28816040.14,16807.19,direct,
1672837200,16829.5,16804.21,16807.19,955.19,16066573.64,16821.99,direct,
1672840800,16849.66,16793.04,16821.99,3001.59,50487206.86,16819.72,direct,
1672844400,16847.56,16765.52,16819.72,5103.73,85770310.5,16845.04,direct,
1672848000,16886.0,16829.5,16845.04,3938.08,66391497.01,16854.32,direct,
1672851600,16920.73,16845.95,16854.32,3248.18,54867009.28,16891.17,direct,
1672855200,16972.62,16872.67,16891.17,4692.32,79446572.44,16950.4,direct,
1672858800,16972.44,16791.77,16950.4,7364.11,124173826.41,16831.1,direct,
1672862400,16843.99,16780.41,16831.1,3789.98,63722390.9,16801.43,direct,
1672866000,16822.35,16793.78,16801.43,1033.75,17378722.61,16820.83,direct,
1672869600,16838.32,16813.08,16820.83,816.87,13744481.01,16823.53,direct,
1672873200,16860.5,16813.79,16823.53,1505.54,25355652.24,16846.82,direct,
1672876800,16869.78,16825.49,16846.82,1524.8,25698373.04,16826.12,direct,
1672880400,16844.64,16808.97,16826.12,1161.51,19544778.08,16831.73,direct,
1672884000,16839.44,16824.59,16831.73,726.48,12230587.61,16832.97,direct,
1672887600,16833.65,16817.93,16832.97,493.01,8294528.87,16823.43,direct,
1672891200,16838.86,16819.39,16823.43,522.01,8785668.58,16836.46,direct,
1672894800,16844.32,16833.99,16836.46,407.89,6869513.55,16842.13,direct,
1672898400,16842.76,16811.86,16842.13,670.17,11276020.18,16817.23,direct,
1672902000,16820.29,16790.84,16817.23,875.66,14717901.0,16819.68,direct,
1672905600,16826.35,16792.91,16819.68,834.24,14022569.62,16803.98,direct,
1672909200,16808.48,16783.19,16803.98,1018.51,17106044.89,16799.23,direct,
1672912800,16829.4,16798.03,16799.23,706.33,11879262.69,16821.31,direct,
1672916400,16831.19,16812.95,16821.31,678.65,11415476.89,16828.97,direct,
1672920000,16829.11,16813.85,16828.97,855.89,14396365.86,16818.16,direct,
1672923600,16820.71,16776.65,16818.16,2302.51,38683004.68,16777.19,direct,
1672927200,16823.1,16764.64,16777.19,4017.0,67445831.06,16821.39,direct,
1672930800,16869.84,16820.05,16821.39,3466.78,58408871.45,16838.22,direct,
1672934400,16855.17,16820.64,16838.22,1758.29,29598737.77,16833.08,direct,
1672938000,16837.95,16808.73,16833.08,1272.67,21409609.12,16810.01,direct,
1672941600,16840.82,16798.51,16810.01,1808.91,30435101.93,16836.37,direct,
1672945200,16867.12,16826.53,16836.37,1656.29,27899989.29,16858.05,direct,
1672948800,16865.12,16844.3,16858.05,1380.76,23272657.59,16854.05,direct,
1672952400,16858.91,16832.84,16854.05,1190.09,20048263.32,16844.01,direct,
