time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1672502400,1202.99,1200.28,1202.12,13803.92,16589711.87,1202.14,direct,
1672506000,1202.15,1198.5,1202.14,11495.81,13795467.51,1199.94,direct,
1672509600,1200.14,1198.29,1199.94,9011.13,10806959.8,1198.45,direct,
1672513200,1204.0,1198.43,1198.45,11443.22,13746161.24,1201.7,direct,
1672516800,1202.47,1201.1,1201.7,11403.05,13703799.54,1201.28,direct,
1672520400,1202.01,1198.76,1201.28,10938.0,13130849.29,1199.08,direct,
1672524000,1199.94,1193.17,1199.08,12864.82,15404876.65,1195.63,direct,
1672527600,1196.76,1193.29,1195.63,12260.41,14650855.45,1195.0,direct,
1672531200,1195.83,1192.39,1195.0,13106.18,15652364.78,1193.48,direct,
1672534800,1195.54,1193.28,1193.48,8517.18,10173067.44,1195.28,direct,
1672538400,1196.02,1193.42,1195.28,6541.31,7813775.73,1194.8,direct,
1672542000,1194.81,1191.33,1194.8,10712.3,12776883.11,1193.15,direct,
1672545600,1193.21,1190.52,1193.15,10911.18,13004413.74,1192.1,direct,
1672549200,1193.82,1191.87,1192.1,5983.85,7138451.43,1193.7,direct,
1672552800,1194.49,1193.21,1193.7,5549.11,6624184.58,1193.63,direct,
1672556400,1194.86,1193.05,1193.63,17058.64,20359444.06,1194.67,direct,
1672560000,1195.74,1193.69,1194.67,3385.22,4042784.95,1193.88,direct,
1672563600,1195.94,1193.38,1193.88,3571.78,4266491.76,1195.94,direct,
1672567200,1195.95,1194.95,1195.94,2926.48,3497959.87,1195.95,direct,
1672570800,1196.7,1194.99,1195.95,3414.97,4084132.34,1195.73,direct,
1672574400,1198.04,1195.15,1195.73,5041.86,6032934.33,1196.63,direct,
1672578000,1196.88,1192.89,1196.63,6418.24,7668772.65,1194.56,direct,
1672581600,1195.41,1193.71,1194.56,2824.55,3374127.38,1194.07,direct,
1672585200,1196.3,1193.55,1194.07,4140.89,4947903.25,1196.14,direct,
1672588800,1197.69,1195.07,1196.14,7617.83,9114508.27,1196.69,direct,
1672592400,1202.58,1196.57,1196.69,12131.39,14556071.58,1200.0,direct,
1672596000,1202.38,1200.0,1200.0,7139.2,8574300.69,1200.46,direct,
1672599600,1203.78,1200.36,1200.46,11817.48,14202883.1,1201.11,direct,
1672603200,1204.09,1200.7,1201.11,8325.07,10006121.57,1200.8,direct,
1672606800,1202.45,1199.96,1200.8,4550.77,5465495.77,1202.15,direct,
1672610400,1203.29,1199.7,1202.15,6195.48,7444746.14,1200.46,direct,
1672614000,1202.06,1198.74,1200.46,9390.04,11269282.69,1200.1,direct,
1672617600,1200.6,1196.86,1200.1,7251.97,8690254.28,1197.75,direct,
1672621200,1197.78,1192.5,1197.75,10627.88,12699444.07,1194.41,direct,
1672624800,1196.7,1193.59,1194.41,5046.25,6031887.9,1196.14,direct,
1672628400,1202.78,1195.84,1196.14,9363.95,11227821.37,1201.29,direct,
1672632000,1202.37,1199.25,1201.29,8104.99,9729508.57,1201.2,direct,
1672635600,1202.57,1199.61,1201.2,5858.0,7036371.09,1201.77,direct,
1672639200,1203.45,1199.92,1201.77,7891.38,9481995.01,1200.96,direct,
1672642800,1218.09,1200.68,1200.96,37362.21,45280761.95,1212.27,direct,
1672646400,1216.49,1211.87,1212.27,20790.65,25248559.99,1215.23,direct,
1672650000,1218.76,1215.06,1215.23,26639.24,32421968.31,1216.82,direct,
1672653600,1222.25,1216.19,1216.82,20882.53,25454078.16,1216.94,direct,
1672657200,1217.27,1213.7,1216.94,10031.91,12193687.09,1216.57,direct,
1672660800,1217.58,1215.8,1216.57,8165.93,9935284.26,1215.92,direct,
1672664400,1216.24,1213.39,1215.92,9505.67,11548099.82,1214.35,direct,
1672668000,1217.35,1214.19,1214.35,13560.45,16484931.29,1216.21,direct,
1672671600,1220.16,1215.15,1216.21,21074.89,25667245.17,1218.13,direct,
1672675200,1219.01,1215.91,1218.13,13415.12,16335974.41,1216.36,direct,
1672678800,1217.07,1215.51,1216.36,9566.44,11635292.21,1216.59,direct,
1672682400,1218.62,1216.29,1216.59,7557.21,9200701.91,1217.53,direct,
1672686000,1218.44,1216.98,1217.53,8672.93,10560561.66,1218.38,direct,
1672689600,1218.47,1216.33,1218.38,9841.92,11982173.6,1218.06,direct,
1672693200,1221.41,1217.72,1218.06,11577.67,14113538.17,1219.16,direct,
1672696800,1219.59,1212.98,1219.16,19217.51,23378977.37,1214.89,direct,
1672700400,1216.71,1213.1,1214.89,25209.66,30632017.84,1213.98,direct,
1672704000,1216.56,1213.06,1213.98,11790.49,14326929.34,1215.57,direct,
1672707600,1215.66,1211.53,1215.57,14378.48,17445615.64,1213.85,direct,
1672711200,1215.05,1212.86,1213.85,10019.48,12165880.99,1214.03,direct,
1672714800,1215.96,1212.94,1214.03,9765.55,11858953.17,1215.47,direct,
1672718400,1215.55,1213.03,1215.47,9101.66,11052699.82,1213.43,direct,
1672722000,1217.52,1213.21,1213.43,7967.71,9685172.95,1217.49,direct,
1672725600,1219.35,1216.29,1217.49,11081.89,13497448.44,1216.38,direct,
1672729200,1216.85,1215.29,1216.38,6259.37,7612751.72,1216.36,direct,
1672732800,1216.88,1213.85,1216.36,10026.76,12184639.39,1215.51,direct,
1672736400,1218.34,1215.51,1215.51,8076.19,9827001.65,1217.12,direct,
1672740000,1217.85,1215.46,1217.12,7987.68,9719664.14,1215.52,direct,
1672743600,1216.55,1214.09,1215.52,8242.28,10016616.8,1214.6,direct,
1672747200,1216.25,1214.42,1214.6,7675.56,9327958.09,1215.04,direct,
1672750800,1217.07,1214.86,1215.04,11772.06,14315927.41,1216.18,direct,
1672754400,1218.96,1208.0,1216.18,35071.25,42601950.75,1209.85,direct,
1672758000,1211.58,1206.98,1209.85,33083.43,40008152.99,1211.45,direct,
1672761600,1212.1,1207.18,1211.45,26891.33,32516550.47,1207.35,direct,
1672765200,1209.24,1206.5,1207.35,17463.15,21096278.85,1208.19,direct,
1672768800,1208.7,1206.53,1208.19,11958.31,14439380.12,1207.2,direct,
1672772400,1209.86,1205.08,1207.2,17272.79,20857582.35,1209.07,direct,
1672776000,1211.81,1208.95,1209.07,16726.49,20247438.57,1210.62,direct,
1672779600,1211.92,1209.96,1210.62,12191.03,14764209.75,1210.79,direct,
1672783200,1212.26,1209.86,1210.79,6550.57,7932059.15,1212.08,direct,
1672786800,1215.11,1211.79,1212.08,12520.4,15199648.92,1214.11,direct,
1672790400,1214.48,1212.42,1214.11,7762.71,9420652.07,1212.98,direct,
1672794000,1227.41,1212.71,1212.98,45349.79,55461739.49,1223.78,direct,
1672797600,1232.1,1223.62,1223.78,30123.84,37019920.44,1230.86,direct,
1672801200,1251.56,1230.86,1230.86,64439.29,80311577.9,1250.27,direct,
1672804800,1253.35,1248.22,1250.27,26457.26,33097790.42,1249.7,direct,
1672808400,1250.24,1246.67,1249.7,14912.88,18614342.75,1247.38,direct,
1672812000,1250.68,1246.79,1247.38,14952.93,18671174.84,1249.84,direct,
