time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1672502400,5.591,5.556,5.584,65865.95,367059.18,5.574,direct,
1672506000,5.579,5.54,5.574,58963.77,327687.56,5.55,direct,
1672509600,5.573,5.549,5.55,38188.89,212413.31,5.559,direct,
1672513200,5.592,5.557,5.559,70520.55,393216.06,5.584,direct,
1672516800,5.598,5.58,5.584,90948.82,508178.24,5.581,direct,
1672520400,5.59,5.558,5.581,112644.13,628832.48,5.56,direct,
1672524000,5.571,5.544,5.56,99630.75,553866.68,5.56,direct,
1672527600,5.572,5.535,5.56,143243.24,796142.49,5.567,direct,
1672531200,5.573,5.511,5.567,224203.37,1241480.35,5.522,direct,
1672534800,5.562,5.52,5.522,80757.77,447091.68,5.555,direct,
1672538400,5.56,5.536,5.555,125576.61,696660.05,5.536,direct,
1672542000,5.553,5.529,5.536,60306.94,334111.77,5.548,direct,
1672545600,5.55,5.506,5.548,165968.56,916134.52,5.506,direct,
1672549200,5.539,5.506,5.506,73749.37,407169.99,5.532,direct,
1672552800,5.54,5.527,5.532,29154.53,161309.3,5.534,direct,
1672556400,5.535,5.516,5.534,134774.79,744693.12,5.53,direct,
1672560000,5.53,5.51,5.53,138787.26,766079.1,5.51,direct,
1672563600,5.569,5.51,5.51,124129.88,688007.13,5.569,direct,
1672567200,5.569,5.553,5.569,52212.74,290414.51,5.561,direct,
1672570800,5.584,5.561,5.561,34685.42,193348.18,5.573,direct,
1672574400,5.585,5.564,5.573,62953.34,351049.86,5.571,direct,
1672578000,5.575,5.548,5.571,38824.61,215803.93,5.556,direct,
1672581600,5.572,5.555,5.556,23434.15,130339.8,5.557,direct,
1672585200,5.596,5.554,5.557,29691.47,165576.35,5.592,direct,
1672588800,5.602,5.58,5.592,44237.61,247435.6,5.593,direct,
1672592400,5.616,5.592,5.593,69543.83,390140.94,5.605,direct,
1672596000,5.632,5.605,5.605,84720.56,476263.43,5.616,direct,
1672599600,5.618,5.598,5.616,63385.93,355445.83,5.605,direct,
1672603200,5.638,5.602,5.605,52475.89,295158.92,5.615,direct,
1672606800,5.628,5.61,5.615,27410.61,154021.31,5.626,direct,
1672610400,5.63,5.608,5.626,31053.37,174588.92,5.614,direct,
1672614000,5.63,5.61,5.614,35631.31,200210.35,5.629,direct,
1672617600,5.66,5.602,5.629,73709.03,414781.18,5.604,direct,
1672621200,5.608,5.545,5.604,249937.28,1391643.39,5.561,direct,
1672624800,5.592,5.557,5.561,87681.95,488688.5,5.577,direct,
1672628400,5.628,5.575,5.577,67145.8,376116.68,5.622,direct,
1672632000,5.632,5.598,5.622,48668.46,273141.77,5.606,direct,
1672635600,5.633,5.602,5.606,35868.87,201510.87,5.63,direct,
1672639200,5.645,5.605,5.63,36875.53,207425.5,5.611,direct,
1672642800,5.735,5.609,5.611,437760.31,2489182.27,5.68,direct,
1672646400,5.718,5.676,5.68,124501.06,709546.76,5.689,direct,
1672650000,5.712,5.682,5.689,67428.68,384033.76,5.694,direct,
1672653600,5.724,5.685,5.694,52546.47,299481.22,5.69,direct,
1672657200,5.696,5.658,5.69,50656.13,287588.65,5.694,direct,
1672660800,5.712,5.68,5.694,52106.87,296871.31,5.683,direct,
1672664400,5.701,5.655,5.683,85135.52,483357.25,5.663,direct,
1672668000,5.683,5.661,5.663,60471.62,342913.29,5.677,direct,
1672671600,5.71,5.671,5.677,99526.54,566701.53,5.7,direct,
1672675200,5.713,5.689,5.7,52159.35,297483.15,5.692,direct,
1672678800,5.724,5.683,5.692,47144.43,268904.53,5.713,direct,
1672682400,5.736,5.696,5.713,67353.88,384797.66,5.699,direct,
1672686000,5.73,5.696,5.699,60529.55,345986.45,5.725,direct,
1672689600,5.727,5.707,5.725,20985.03,119925.23,5.717,direct,
1672693200,5.756,5.717,5.717,67856.99,388955.46,5.741,direct,
1672696800,5.746,5.681,5.741,59687.12,341145.96,5.689,direct,
1672700400,5.707,5.673,5.689,136152.76,774680.39,5.683,direct,
1672704000,5.713,5.681,5.683,47966.68,273150.22,5.702,direct,
