datetime,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-01-01 00:00:00,0.7674,0.7626,0.7667,619951.87,473714.32,0.7636,direct,
2023-01-01 01:00:00,0.7637,0.7598,0.7636,955077.28,726963.88,0.7615,direct,
2023-01-01 02:00:00,0.7625,0.7599,0.7615,472429.49,359600.91,0.7601,direct,
2023-01-01 03:00:00,0.7657,0.7592,0.7601,1455695.83,1108229.58,0.7641,direct,
2023-01-01 04:00:00,0.765,0.7632,0.7641,583795.44,446016.7,0.7634,direct,
2023-01-01 05:00:00,0.7641,0.7597,0.7634,860406.37,655240.99,0.7599,direct,
2023-01-01 06:00:00,0.7602,0.7548,0.7599,1237922.33,937940.03,0.7563,direct,
2023-01-01 07:00:00,0.7591,0.7542,0.7563,640909.05,484922.06,0.7574,direct,
2023-01-01 08:00:00,0.758,0.7501,0.7574,1146233.08,863225.34,0.7501,direct,
2023-01-01 09:00:00,0.753,0.7485,0.7501,822438.03,616953.02,0.7528,direct,
2023-01-01 10:00:00,0.7547,0.7509,0.7528,796952.18,599978.41,0.7528,direct,
2023-01-01 11:00:00,0.7528,0.7499,0.7528,677476.33,508912.95,0.7513,direct,
2023-01-01 12:00:00,0.7519,0.7474,0.7513,1050536.6,787142.34,0.748,direct,
2023-01-01 13:00:00,0.7515,0.7475,0.748,568692.17,426665.16,0.7509,direct,
2023-01-01 14:00:00,0.7534,0.7509,0.7509,342970.94,258025.46,0.7522,direct,
2023-01-01 15:00:00,0.753,0.7507,0.7522,1461536.93,1098653.63,0.7529,direct,
2023-01-01 16:00:00,0.754,0.7523,0.7529,805877.74,606837.07,0.754,direct,
2023-01-01 17:00:00,0.7558,0.7527,0.754,756077.92,569973.66,0.7558,direct,
2023-01-01 18:00:00,0.7564,0.7539,0.7558,655034.69,494950.91,0.7549,direct,
2023-01-01 19:00:00,0.7578,0.7546,0.7549,325186.72,246111.4,0.7568,direct,
2023-01-01 20:00:00,0.7593,0.7567,0.7568,346117.45,262305.73,0.7569,direct,
2023-01-01 21:00:00,0.7575,0.7534,0.7569,209262.7,158112.09,0.7552,direct,
2023-01-01 22:00:00,0.7565,0.7539,0.7552,187215.19,141403.5,0.7544,direct,
2023-01-01 23:00:00,0.7585,0.7543,0.7544,207715.26,157074.03,0.7582,direct,
2023-01-02 00:00:00,0.7594,0.7554,0.7582,367390.92,278321.89,0.7578,direct,
2023-01-02 01:00:00,0.7615,0.7577,0.7578,690486.06,524451.54,0.7583,direct,
2023-01-02 02:00:00,0.7618,0.7583,0.7583,646692.6,491664.45,0.759,direct,
2023-01-02 03:00:00,0.7613,0.7586,0.759,361822.06,275049.2,0.7595,direct,
2023-01-02 04:00:00,0.7624,0.7594,0.7595,340450.9,258961.65,0.7595,direct,
2023-01-02 05:00:00,0.76,0.7576,0.7595,260683.91,197720.87,0.759,direct,
2023-01-02 06:00:00,0.7595,0.7563,0.759,302980.48,229743.86,0.7576,direct,
2023-01-02 07:00:00,0.7605,0.7562,0.7576,386529.57,293309.86,0.7602,direct,
2023-01-02 08:00:00,0.7608,0.7556,0.7602,490099.08,371213.9,0.7561,direct,
2023-01-02 09:00:00,0.7564,0.7493,0.7561,2376967.54,1786456.43,0.7494,direct,
2023-01-02 10:00:00,0.7525,0.7487,0.7494,1046989.61,786046.49,0.7513,direct,
2023-01-02 11:00:00,0.7573,0.751,0.7513,626735.64,472226.3,0.7556,direct,
2023-01-02 12:00:00,0.7565,0.7524,0.7556,321630.55,242619.6,0.7549,direct,
2023-01-02 13:00:00,0.7583,0.7533,0.7549,261944.3,197934.9,0.7575,direct,
2023-01-02 14:00:00,0.7594,0.7559,0.7575,343695.35,260350.17,0.7561,direct,
2023-01-02 15:00:00,0.7733,0.7561,0.7561,3968826.91,3035666.05,0.7698,direct,
2023-01-02 16:00:00,0.7824,0.7698,0.7698,4178019.35,3244176.54,0.7781,direct,
2023-01-02 17:00:00,0.7807,0.7759,0.7781,952167.03,741064.27,0.7768,direct,
2023-01-02 18:00:00,0.7798,0.7758,0.7768,907092.48,706072.83,0.7793,direct,
2023-01-02 19:00:00,0.7794,0.7742,0.7793,544785.38,423301.55,0.7783,direct,
2023-01-02 20:00:00,0.7805,0.7775,0.7783,697401.45,543067.8,0.7783,direct,
2023-01-02 21:00:00,0.7794,0.7762,0.7783,969443.0,753969.36,0.7769,direct,
2023-01-02 22:00:00,0.7797,0.7769,0.7769,611058.53,475635.15,0.7784,direct,
2023-01-02 23:00:00,0.7856,0.778,0.7784,1544307.79,1208504.89,0.7844,direct,
2023-01-03 00:00:00,0.7862,0.7813,0.7844,906579.23,710855.11,0.7814,direct,
2023-01-03 01:00:00,0.783,0.7789,0.7814,659209.14,514652.06,0.781,direct,
2023-01-03 02:00:00,0.7845,0.7801,0.781,598629.8,468096.46,0.7824,direct,
2023-01-03 03:00:00,0.7843,0.7822,0.7824,644425.26,504701.69,0.7841,direct,
2023-01-03 04:00:00,0.7851,0.782,0.7841,502316.87,393679.98,0.7848,direct,
2023-01-03 05:00:00,0.7898,0.7838,0.7848,859719.57,675911.86,0.7877,direct,
2023-01-03 06:00:00,0.7885,0.7797,0.7877,718851.05,563713.83,0.7809,direct,
2023-01-03 07:00:00,0.7851,0.7791,0.7809,1253395.59,980218.97,0.7806,direct,
2023-01-03 08:00:00,0.7833,0.779,0.7806,1302461.81,1016661.01,0.7833,direct,
2023-01-03 09:00:00,0.7838,0.7773,0.7833,677480.88,528178.37,0.7795,direct,
2023-01-03 10:00:00,0.7805,0.7777,0.7795,505658.3,393872.92,0.7777,direct,
2023-01-03 11:00:00,0.7818,0.7763,0.7777,637733.16,496879.49,0.7817,direct,
2023-01-03 12:00:00,0.7823,0.7788,0.7817,357684.37,279223.79,0.7792,direct,
2023-01-03 13:00:00,0.7833,0.7791,0.7792,625479.83,488679.13,0.7824,direct,
2023-01-03 14:00:00,0.7882,0.7824,0.7824,688634.2,540793.92,0.7842,direct,
2023-01-03 15:00:00,0.7865,0.7835,0.7842,289386.13,227083.19,0.7843,direct,
2023-01-03 16:00:00,0.7853,0.78,0.7843,717601.48,561158.61,0.7824,direct,
2023-01-03 17:00:00,0.7857,0.7819,0.7824,394535.97,309243.64,0.7849,direct,
2023-01-03 18:00:00,0.7853,0.7816,0.7849,328235.73,257156.88,0.782,direct,
2023-01-03 19:00:00,0.7835,0.779,0.782,455788.51,355989.11,0.78,direct,
2023-01-03 20:00:00,0.7817,0.7791,0.78,438531.49,342333.86,0.7799,direct,
2023-01-03 21:00:00,0.7837,0.7797,0.7799,811435.62,634522.16,0.7818,direct,
2023-01-03 22:00:00,0.7863,0.7757,0.7818,1872367.69,1463970.08,0.7771,direct,
2023-01-03 23:00:00,0.7828,0.7768,0.7771,1438190.65,1120852.06,0.7801,direct,
2023-01-04 00:00:00,0.7817,0.7752,0.7801,1370897.05,1067132.74,0.7761,direct,
2023-01-04 01:00:00,0.7777,0.7704,0.7761,3901084.4,3016520.55,0.7729,direct,
2023-01-04 02:00:00,0.7748,0.7717,0.7729,1109893.44,858369.84,0.7746,direct,
2023-01-04 03:00:00,0.7759,0.7724,0.7746,891386.76,690164.57,0.7742,direct,
2023-01-04 04:00:00,0.7763,0.7734,0.7742,608339.8,471462.64,0.7741,direct,
2023-01-04 05:00:00,0.776,0.774,0.7741,406664.49,315297.73,0.7753,direct,
2023-01-04 06:00:00,0.7774,0.7734,0.7753,888132.52,688406.51,0.7763,direct,
2023-01-04 07:00:00,0.7807,0.7763,0.7763,903686.0,703676.75,0.7794,direct,
2023-01-04 08:00:00,0.7805,0.777,0.7794,1015903.8,790796.91,0.779,direct,
2023-01-04 09:00:00,0.791,0.7788,0.779,3726613.41,2934722.73,0.7909,direct,
2023-01-04 10:00:00,0.8045,0.7909,0.7909,5282128.71,4211298.41,0.8031,direct,
2023-01-04 11:00:00,0.8099,0.7972,0.8031,3372786.78,2712735.87,0.8014,direct,
2023-01-04 12:00:00,0.8038,0.7994,0.8014,1285740.27,1031315.16,0.8012,direct,
2023-01-04 13:00:00,0.8022,0.7988,0.8012,603002.78,482738.01,0.8019,direct,
2023-01-04 14:00:00,0.8055,0.8,0.8019,1182904.54,948606.88,0.8053,direct,
2023-01-04 15:00:00,0.8067,0.8012,0.8053,1161104.43,932667.86,0.8049,direct,
2023-01-04 16:00:00,0.8086,0.7999,0.8049,1291449.78,1039108.58,0.8039,direct,
2023-01-04 17:00:00,0.8045,0.8001,0.8039,657692.82,527744.21,0.8016,direct,
2023-01-04 18:00:00,0.8029,0.8005,0.8016,857098.82,687108.63,0.8018,direct,
2023-01-04 19:00:00,0.8021,0.7997,0.8018,631800.65,506083.04,0.8009,direct,
2023-01-04 20:00:00,0.8041,0.8002,0.8009,1340738.73,1074815.73,0.8008,direct,
2023-01-04 21:00:00,0.8045,0.8006,0.8008,1373588.28,1103802.66,0.8039,direct,
2023-01-04 22:00:00,0.8045,0.8003,0.8039,3016688.57,2422207.14,0.8037,direct,
2023-01-04 23:00:00,0.8063,0.7944,0.8037,3620891.67,2901858.23,0.8059,direct,
2023-01-05 00:00:00,0.8092,0.8031,0.8059,3241447.66,2614394.22,0.8045,direct,
2023-01-05 01:00:00,0.8115,0.8034,0.8045,3346032.52,2704736.69,0.807,direct,
2023-01-05 02:00:00,0.8143,0.8055,0.807,3471713.68,2816635.92,0.8118,direct,
2023-01-05 03:00:00,0.8127,0.7987,0.8118,3510484.23,2825375.53,0.8043,direct,
2023-01-05 04:00:00,0.8043,0.795,0.8043,1872365.45,1496921.03,0.7996,direct,
2023-01-05 05:00:00,0.803,0.7987,0.7996,779056.91,623995.08,0.8,direct,
2023-01-05 06:00:00,0.8039,0.8,0.8,563642.92,451959.8,0.802,direct,
2023-01-05 07:00:00,0.8074,0.8017,0.802,1207042.97,972260.25,0.8067,direct,
2023-01-05 08:00:00,0.8104,0.8014,0.8067,1773397.66,1431084.75,0.8015,direct,
2023-01-05 09:00:00,0.8046,0.7994,0.8015,1673164.1,1341235.18,0.8018,direct,
2023-01-05 10:00:00,0.8036,0.7999,0.8018,988696.79,793099.01,0.8029,direct,
2023-01-05 11:00:00,0.8034,0.7995,0.8029,828056.56,663285.91,0.8014,direct,
2023-01-05 12:00:00,0.8045,0.8013,0.8014,1148112.27,922144.14,0.8036,direct,
2023-01-05 13:00:00,0.8057,0.803,0.8036,881022.25,708278.89,0.8035,direct,
2023-01-05 14:00:00,0.8037,0.7988,0.8035,622871.04,498886.62,0.8005,direct,
2023-01-05 15:00:00,0.8015,0.7969,0.8005,565323.72,451760.01,0.8,direct,
2023-01-05 16:00:00,0.8002,0.7987,0.8,2094009.41,1672908.43,0.7996,direct,
2023-01-05 17:00:00,0.7999,0.7932,0.7996,1922828.53,1533748.05,0.7975,direct,
2023-01-05 18:00:00,0.8011,0.7966,0.7975,957161.55,765130.79,0.7996,direct,
2023-01-05 19:00:00,0.8005,0.7981,0.7996,651124.3,520451.24,0.7997,direct,
2023-01-05 20:00:00,0.7999,0.7966,0.7997,521392.18,416337.87,0.7983,direct,
2023-01-05 21:00:00,0.7995,0.7916,0.7983,1472174.53,1171854.34,0.7917,direct,
2023-01-05 22:00:00,0.7949,0.7861,0.7917,6898335.82,5442893.44,0.7893,direct,
2023-01-05 23:00:00,0.7954,0.7888,0.7893,1240750.73,982854.57,0.7912,direct,
2023-01-06 00:00:00,0.7928,0.7882,0.7912,1002378.09,791843.74,0.7895,direct,
2023-01-06 01:00:00,0.7912,0.7884,0.7895,960560.5,758084.88,0.7886,direct,
2023-01-06 02:00:00,0.7924,0.7882,0.7886,771423.57,609784.79,0.7918,direct,
2023-01-06 03:00:00,0.7946,0.791,0.7918,923646.76,732466.33,0.7937,direct,
2023-01-06 04:00:00,0.7951,0.7929,0.7937,358663.28,284802.49,0.7949,direct,
2023-01-06 05:00:00,0.7949,0.7906,0.7949,906312.63,717797.11,0.7909,direct,
2023-01-06 06:00:00,0.7916,0.7891,0.7909,614571.12,485762.33,0.7894,direct,
2023-01-06 07:00:00,0.7909,0.7846,0.7894,2012104.12,1584102.38,0.7886,direct,
2023-01-06 08:00:00,0.7935,0.787,0.7886,1290126.71,1019883.53,0.7932,direct,
2023-01-06 09:00:00,0.7941,0.7898,0.7932,521743.33,413630.85,0.7903,direct,
2023-01-06 10:00:00,0.7906,0.7844,0.7903,1139308.7,896007.74,0.7876,direct,
2023-01-06 11:00:00,0.7884,0.7851,0.7876,689063.2,541949.07,0.7851,direct,
2023-01-06 12:00:00,0.7869,0.7808,0.7851,967127.49,757913.43,0.7833,direct,
2023-01-06 13:00:00,0.7834,0.7779,0.7833,1128202.65,880286.39,0.7803,direct,
2023-01-06 14:00:00,0.7804,0.7729,0.7803,4208637.54,3265654.69,0.7749,direct,
2023-01-06 15:00:00,0.7782,0.7735,0.7749,630680.19,489268.23,0.7777,direct,
2023-01-06 16:00:00,0.7788,0.7768,0.7777,618546.64,481110.19,0.7778,direct,
2023-01-06 17:00:00,0.7778,0.7744,0.7778,733532.95,569325.09,0.7776,direct,
2023-01-06 18:00:00,0.7785,0.7748,0.7776,453901.37,352667.77,0.7754,direct,
2023-01-06 19:00:00,0.7777,0.7724,0.7754,1125837.56,872749.05,0.7769,direct,
2023-01-06 20:00:00,0.7776,0.7748,0.7769,645178.63,500732.03,0.7757,direct,
2023-01-06 21:00:00,0.7832,0.7708,0.7757,2013055.58,1562850.88,0.778,direct,
2023-01-06 22:00:00,0.7801,0.7749,0.778,939546.86,730142.09,0.7766,direct,
2023-01-06 23:00:00,0.7867,0.7766,0.7766,1362555.43,1064806.4,0.786,direct,
2023-01-07 00:00:00,0.789,0.7831,0.786,1001045.97,786753.95,0.7881,direct,
2023-01-07 01:00:00,0.7899,0.7867,0.7881,940533.36,741870.07,0.7874,direct,
2023-01-07 02:00:00,0.7948,0.7872,0.7874,1312201.59,1039377.97,0.7932,direct,
2023-01-07 03:00:00,0.7987,0.7915,0.7932,1413669.82,1124730.59,0.7979,direct,
2023-01-07 04:00:00,0.7995,0.7911,0.7979,1249954.45,994815.05,0.7913,direct,
2023-01-07 05:00:00,0.7961,0.7913,0.7913,964189.68,765282.67,0.7953,direct,
2023-01-07 06:00:00,0.7982,0.7952,0.7953,612635.67,488242.72,0.7981,direct,
2023-01-07 07:00:00,0.8002,0.7969,0.7981,1730912.94,1383686.94,0.7989,direct,
2023-01-07 08:00:00,0.8094,0.7979,0.7989,3149182.14,2529063.55,0.8094,direct,
2023-01-07 09:00:00,0.8096,0.804,0.8094,1135402.83,916689.05,0.8064,direct,
2023-01-07 10:00:00,0.811,0.8064,0.8064,1033190.54,835803.83,0.8074,direct,
