time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1672502400,0.7674,0.7626,0.7667,619951.87,473714.32,0.7636,direct,
1672506000,0.7637,0.7598,0.7636,955077.28,726963.88,0.7615,direct,
1672509600,0.7625,0.7599,0.7615,472429.49,359600.91,0.7601,direct,
1672513200,0.7657,0.7592,0.7601,1455695.83,1108229.58,0.7641,direct,
1672516800,0.765,0.7632,0.7641,583795.44,446016.7,0.7634,direct,
1672520400,0.7641,0.7597,0.7634,860406.37,655240.99,0.7599,direct,
1672524000,0.7602,0.7548,0.7599,1237922.33,937940.03,0.7563,direct,
1672527600,0.7591,0.7542,0.7563,640909.05,484922.06,0.7574,direct,
1672531200,0.758,0.7501,0.7574,1146233.08,863225.34,0.7501,direct,
1672534800,0.753,0.7485,0.7501,822438.03,616953.02,0.7528,direct,
1672538400,0.7547,0.7509,0.7528,796952.18,599978.41,0.7528,direct,
1672542000,0.7528,0.7499,0.7528,677476.33,508912.95,0.7513,direct,
1672545600,0.7519,0.7474,0.7513,1050536.6,787142.34,0.748,direct,
1672549200,0.7515,0.7475,0.748,568692.17,426665.16,0.7509,direct,
1672552800,0.7534,0.7509,0.7509,342970.94,258025.46,0.7522,direct,
1672556400,0.753,0.7507,0.7522,1461536.93,1098653.63,0.7529,direct,
1672560000,0.754,0.7523,0.7529,805877.74,606837.07,0.754,direct,
1672563600,0.7558,0.7527,0.754,756077.92,569973.66,0.7558,direct,
1672567200,0.7564,0.7539,0.7558,655034.69,494950.91,0.7549,direct,
1672570800,0.7578,0.7546,0.7549,325186.72,246111.4,0.7568,direct,
1672574400,0.7593,0.7567,0.7568,346117.45,262305.73,0.7569,direct,
1672578000,0.7575,0.7534,0.7569,209262.7,158112.09,0.7552,direct,
1672581600,0.7565,0.7539,0.7552,187215.19,141403.5,0.7544,direct,
1672585200,0.7585,0.7543,0.7544,207715.26,157074.03,0.7582,direct,
1672588800,0.7594,0.7554,0.7582,367390.92,278321.89,0.7578,direct,
1672592400,0.7615,0.7577,0.7578,690486.06,524451.54,0.7583,direct,
1672596000,0.7618,0.7583,0.7583,646692.6,491664.45,0.759,direct,
1672599600,0.7613,0.7586,0.759,361822.06,275049.2,0.7595,direct,
1672603200,0.7624,0.7594,0.7595,340450.9,258961.65,0.7595,direct,
1672606800,0.76,0.7576,0.7595,260683.91,197720.87,0.759,direct,
1672610400,0.7595,0.7563,0.759,302980.48,229743.86,0.7576,direct,
1672614000,0.7605,0.7562,0.7576,386529.57,293309.86,0.7602,direct,
1672617600,0.7608,0.7556,0.7602,490099.08,371213.9,0.7561,direct,
1672621200,0.7564,0.7493,0.7561,2376967.54,1786456.43,0.7494,direct,
1672624800,0.7525,0.7487,0.7494,1046989.61,786046.49,0.7513,direct,
1672628400,0.7573,0.751,0.7513,626735.64,472226.3,0.7556,direct,
1672632000,0.7565,0.7524,0.7556,321630.55,242619.6,0.7549,direct,
1672635600,0.7583,0.7533,0.7549,261944.3,197934.9,0.7575,direct,
1672639200,0.7594,0.7559,0.7575,343695.35,260350.17,0.7561,direct,
1672642800,0.7733,0.7561,0.7561,3968826.91,3035666.05,0.7698,direct,
1672646400,0.7824,0.7698,0.7698,4178019.35,3244176.54,0.7781,direct,
1672650000,0.7807,0.7759,0.7781,952167.03,741064.27,0.7768,direct,
1672653600,0.7798,0.7758,0.7768,907092.48,706072.83,0.7793,direct,
1672657200,0.7794,0.7742,0.7793,544785.38,423301.55,0.7783,direct,
1672660800,0.7805,0.7775,0.7783,697401.45,543067.8,0.7783,direct,
1672664400,0.7794,0.7762,0.7783,969443.0,753969.36,0.7769,direct,
1672668000,0.7797,0.7769,0.7769,611058.53,475635.15,0.7784,direct,
1672671600,0.7856,0.778,0.7784,1544307.79,1208504.89,0.7844,direct,
1672675200,0.7862,0.7813,0.7844,906579.23,710855.11,0.7814,direct,
1672678800,0.783,0.7789,0.7814,659209.14,514652.06,0.781,direct,
1672682400,0.7845,0.7801,0.781,598629.8,468096.46,0.7824,direct,
1672686000,0.7843,0.7822,0.7824,644425.26,504701.69,0.7841,direct,
1672689600,0.7851,0.782,0.7841,502316.87,393679.98,0.7848,direct,
1672693200,0.7898,0.7838,0.7848,859719.57,675911.86,0.7877,direct,
1672696800,0.7885,0.7797,0.7877,718851.05,563713.83,0.7809,direct,
1672700400,0.7851,0.7791,0.7809,1253395.59,980218.97,0.7806,direct,
1672704000,0.7833,0.779,0.7806,1302461.81,1016661.01,0.7833,direct,
1672707600,0.7838,0.7773,0.7833,677480.88,528178.37,0.7795,direct,
1672711200,0.7805,0.7777,0.7795,505658.3,393872.92,0.7777,direct,
1672714800,0.7818,0.7763,0.7777,637733.16,496879.49,0.7817,direct,
1672718400,0.7823,0.7788,0.7817,357684.37,279223.79,0.7792,direct,
1672722000,0.7833,0.7791,0.7792,625479.83,488679.13,0.7824,direct,
1672725600,0.7882,0.7824,0.7824,688634.2,540793.92,0.7842,direct,
1672729200,0.7865,0.7835,0.7842,289386.13,227083.19,0.7843,direct,
1672732800,0.7853,0.78,0.7843,717601.48,561158.61,0.7824,direct,
1672736400,0.7857,0.7819,0.7824,394535.97,309243.64,0.7849,direct,
1672740000,0.7853,0.7816,0.7849,328235.73,257156.88,0.782,direct,
1672743600,0.7835,0.779,0.782,455788.51,355989.11,0.78,direct,
1672747200,0.7817,0.7791,0.78,438531.49,342333.86,0.7799,direct,
1672750800,0.7837,0.7797,0.7799,811435.62,634522.16,0.7818,direct,
1672754400,0.7863,0.7757,0.7818,1872367.69,1463970.08,0.7771,direct,
1672758000,0.7828,0.7768,0.7771,1438190.65,1120852.06,0.7801,direct,
1672761600,0.7817,0.7752,0.7801,1370897.05,1067132.74,0.7761,direct,
1672765200,0.7777,0.7704,0.7761,3901084.4,3016520.55,0.7729,direct,
1672768800,0.7748,0.7717,0.7729,1109893.44,858369.84,0.7746,direct,
1672772400,0.7759,0.7724,0.7746,891386.76,690164.57,0.7742,direct,
1672776000,0.7763,0.7734,0.7742,608339.8,471462.64,0.7741,direct,
1672779600,0.776,0.774,0.7741,406664.49,315297.73,0.7753,direct,
1672783200,0.7774,0.7734,0.7753,888132.52,688406.51,0.7763,direct,
1672786800,0.7807,0.7763,0.7763,903686.0,703676.75,0.7794,direct,
1672790400,0.7805,0.777,0.7794,1015903.8,790796.91,0.779,direct,
1672794000,0.791,0.7788,0.779,3726613.41,2934722.73,0.7909,direct,
1672797600,0.8045,0.7909,0.7909,5282128.71,4211298.41,0.8031,direct,
1672801200,0.8099,0.7972,0.8031,3372786.78,2712735.87,0.8014,direct,
1672804800,0.8038,0.7994,0.8014,1285740.27,1031315.16,0.8012,direct,
1672808400,0.8022,0.7988,0.8012,603002.78,482738.01,0.8019,direct,
1672812000,0.8055,0.8,0.8019,1182904.54,948606.88,0.8053,direct,
1672815600,0.8067,0.8012,0.8053,1161104.43,932667.86,0.8049,direct,
1672819200,0.8086,0.7999,0.8049,1291449.78,1039108.58,0.8039,direct,
1672822800,0.8045,0.8001,0.8039,657692.82,527744.21,0.8016,direct,
1672826400,0.8029,0.8005,0.8016,857098.82,687108.63,0.8018,direct,
1672830000,0.8021,0.7997,0.8018,631800.65,506083.04,0.8009,direct,
1672833600,0.8041,0.8002,0.8009,1340738.73,1074815.73,0.8008,direct,
1672837200,0.8045,0.8006,0.8008,1373588.28,1103802.66,0.8039,direct,
