time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1672502400,5.145,5.107,5.115,45249.03,231943.13,5.126,multiply,ETH
1672506000,5.137,5.109,5.132,33862.84,173325.96,5.128,direct,
1672509600,5.166,5.114,5.128,126343.33,650178.78,5.16,direct,
1672513200,5.209,5.158,5.16,178159.23,923188.42,5.17,direct,
1672516800,5.199,5.169,5.17,48148.3,250008.32,5.19,direct,
1672520400,5.194,5.16,5.19,26367.97,136518.99,5.16,direct,
1672524000,5.181,5.132,5.154,47771.98,245834.2,5.146,multiply,ETH
1672527600,5.171,5.145,5.154,29061.83,149962.64,5.158,direct,
1672531200,5.17,5.144,5.158,34738.86,179034.33,5.152,direct,
1672534800,5.177,5.115,5.139,33639.83,172335.84,5.123,multiply,ETH
1672538400,5.157,5.097,5.123,41632.61,213296.45,5.123,multiply,ETH
1672542000,5.144,5.097,5.123,38124.24,194688.37,5.107,multiply,ETH
1672545600,5.139,5.088,5.107,38791.88,197368.54,5.088,multiply,ETH
1672549200,5.131,5.088,5.088,45383.84,231650.97,5.104,multiply,ETH
1672552800,5.151,5.103,5.104,37063.95,190013.56,5.127,multiply,ETH
1672556400,5.163,5.117,5.127,38966.74,199942.54,5.131,multiply,ETH
1672560000,5.163,5.139,5.139,115223.19,594305.15,5.162,direct,
1672563600,5.163,5.145,5.162,25051.06,129090.61,5.163,direct,
1672567200,5.173,5.155,5.163,26377.37,136313.09,5.157,direct,
1672570800,5.176,5.157,5.157,9372.86,48411.86,5.166,direct,
1672574400,5.191,5.166,5.166,13788.29,71499.64,5.186,direct,
1672578000,5.187,5.156,5.186,27972.39,144625.45,5.166,direct,
1672581600,5.218,5.166,5.166,16178.73,83999.11,5.208,direct,
1672585200,5.232,5.202,5.208,16987.76,88507.18,5.207,direct,
1672588800,5.221,5.173,5.196,33138.83,171952.35,5.189,multiply,ETH
1672592400,5.231,5.174,5.189,34145.69,177216.13,5.19,multiply,ETH
1672596000,5.236,5.18,5.19,43226.29,225416.38,5.215,multiply,ETH
1672599600,5.246,5.201,5.215,37047.87,193168.28,5.214,multiply,ETH
1672603200,5.255,5.209,5.214,31068.43,162248.02,5.222,multiply,ETH
1672606800,5.271,5.226,5.222,31451.44,164773.14,5.239,multiply,ETH
1672610400,5.27,5.232,5.239,35479.91,186127.97,5.246,multiply,ETH
1672614000,5.273,5.225,5.246,38662.51,202484.7,5.237,multiply,ETH
1672617600,5.276,5.217,5.246,20819.23,109098.45,5.218,direct,
1672621200,5.226,5.176,5.218,32095.15,166990.83,5.202,direct,
1672624800,5.209,5.178,5.202,23796.83,123623.4,5.198,direct,
1672628400,5.219,5.183,5.198,23536.27,122245.14,5.216,direct,
1672632000,5.26,5.193,5.2,43753.88,228938.99,5.232,multiply,ETH
1672635600,5.295,5.234,5.232,52165.25,274584.97,5.264,multiply,ETH
1672639200,5.294,5.228,5.264,57953.15,303244.65,5.233,multiply,ETH
1672642800,5.333,5.235,5.245,94416.33,498936.35,5.281,direct,
1672646400,5.321,5.28,5.281,71696.97,380190.9,5.316,direct,
1672650000,5.342,5.297,5.316,64385.7,342812.91,5.302,direct,
1672653600,5.322,5.267,5.29,51035.7,269173.41,5.274,multiply,ETH
1672657200,5.315,5.262,5.274,41037.54,218122.5,5.315,multiply,ETH
1672660800,5.317,5.294,5.294,32661.8,173385.29,5.308,direct,
1672664400,5.342,5.307,5.308,72083.82,384209.87,5.338,direct,
1672668000,5.374,5.328,5.338,49445.98,264716.97,5.37,direct,
1672671600,5.399,5.343,5.37,81458.97,437360.16,5.393,direct,
1672675200,5.46,5.38,5.393,63046.67,341852.65,5.394,direct,
1672678800,5.422,5.375,5.387,56257.73,303269.12,5.391,multiply,ETH
1672682400,5.436,5.378,5.391,57127.53,308126.35,5.394,multiply,ETH
1672686000,5.45,5.397,5.394,37901.55,205263.39,5.416,multiply,ETH
1672689600,5.453,5.405,5.416,56497.58,305962.35,5.415,multiply,ETH
1672693200,5.458,5.398,5.415,40909.01,221094.23,5.405,multiply,ETH
1672696800,5.431,5.332,5.405,63028.46,336689.92,5.342,multiply,ETH
1672700400,5.388,5.338,5.342,58264.75,312212.11,5.359,multiply,ETH
1672704000,5.432,5.359,5.359,48785.18,263359.3,5.398,multiply,ETH
1672707600,5.413,5.352,5.413,28587.62,153602.87,5.358,direct,
1672711200,5.388,5.347,5.346,40690.13,217602.76,5.348,multiply,ETH
1672714800,5.41,5.348,5.364,41145.31,221272.44,5.401,direct,
1672718400,5.399,5.338,5.385,50743.7,270925.28,5.339,multiply,ETH
1672722000,5.413,5.357,5.339,36479.91,196176.31,5.378,multiply,ETH
1672725600,5.426,5.367,5.378,52498.42,282380.2,5.379,multiply,ETH
1672729200,5.438,5.331,5.379,44156.8,237508.12,5.379,multiply,ETH
1672732800,5.402,5.331,5.379,52640.15,281596.35,5.349,multiply,ETH
1672736400,5.405,5.352,5.349,35900.04,192780.83,5.37,multiply,ETH
1672740000,5.413,5.357,5.37,35207.39,190011.07,5.397,multiply,ETH
1672743600,5.41,5.353,5.397,49000.48,262584.52,5.359,multiply,ETH
1672747200,5.404,5.356,5.359,47373.79,254304.72,5.368,multiply,ETH
1672750800,5.397,5.346,5.368,38820.53,207688.9,5.35,multiply,ETH
1672754400,5.401,5.322,5.361,31326.17,168261.74,5.33,direct,
1672758000,5.346,5.292,5.33,36857.03,196133.24,5.326,direct,
1672761600,5.345,5.288,5.326,29593.58,157228.91,5.29,direct,
1672765200,5.315,5.268,5.28,50926.02,268817.18,5.279,multiply,ETH
1672768800,5.309,5.26,5.279,45372.92,239637.08,5.282,multiply,ETH
1672772400,5.332,5.288,5.282,43753.72,232289.65,5.309,multiply,ETH
1672776000,5.355,5.304,5.309,41338.56,219898.99,5.319,multiply,ETH
1672779600,5.36,5.311,5.319,31287.11,166832.86,5.332,multiply,ETH
1672783200,5.361,5.331,5.332,35326.26,188871.31,5.346,multiply,ETH
1672786800,5.398,5.36,5.36,70758.65,380482.29,5.376,direct,
1672790400,5.409,5.36,5.376,83516.49,448810.86,5.375,direct,
1672794000,5.484,5.363,5.375,246675.54,1341738.21,5.471,direct,
1672797600,5.514,5.462,5.471,98785.15,541125.7,5.506,direct,
1672801200,5.547,5.499,5.506,81355.44,449726.06,5.535,direct,
1672804800,5.585,5.518,5.535,72917.93,405177.86,5.572,direct,
1672808400,5.587,5.556,5.572,31037.9,172891.33,5.571,direct,
1672812000,5.587,5.537,5.565,48249.85,267511.17,5.544,multiply,ETH
1672815600,5.571,5.525,5.548,78957.07,438282.15,5.542,direct,
1672819200,5.547,5.499,5.542,36845.79,203523.14,5.527,direct,
1672822800,5.545,5.5,5.522,49417.44,272556.68,5.515,multiply,ETH
1672826400,5.542,5.503,5.521,67374.47,372083.5,5.542,direct,
